CLIP_NAME,DURATION,TIMESTAMP
8.L,0:18.224,2:26.082
8.L,0:18.224,2:44.307
8.L,0:18.224,3:02.532
8.L,0:18.208,3:20.757
8.L,0:18.224,3:38.966
8.L,0:18.224,3:57.191
x.L,0:16.210,4:15.416
8.L,0:14.403,0:00.264
8.L,0:14.403,0:14.668
8.L,0:14.403,0:29.072
8.L,0:14.403,0:43.475
8.L,0:14.403,0:57.879
8.L,0:14.403,1:12.282
8.L,0:14.403,1:26.686
8.L,0:14.403,1:41.090
4.L,0:07.201,1:55.520
8.L,0:14.403,2:02.722
8.L,0:14.403,2:17.125
8.L,0:14.403,2:31.529
8.L,0:14.403,2:45.932
8.L,0:14.403,3:00.336
8.L,0:14.403,3:14.740
x.L,0:10.776,3:29.143
x.L,0:11.306,0:00.000
8.L,0:14.600,0:11.341
8.L,0:14.600,0:25.942
8.L,0:14.600,0:40.542
8.L,0:14.600,0:55.204
8.L,0:14.600,1:09.804
8.L,0:14.565,1:24.405
8.L,0:14.282,1:38.971
8.L,0:14.623,1:53.254
x.L,0:15.348,2:07.878
8.L,0:14.014,0:00.228
8.L,0:14.014,0:14.243
8.L,0:14.014,0:28.257
8.L,0:14.014,0:42.272
8.L,0:14.014,0:56.286
8.L,0:14.014,1:10.301
6.L,0:10.510,1:24.316
6.L,0:10.510,1:34.826
6.L,0:10.510,1:45.337
6.L,0:10.510,1:55.848
6.L,0:10.510,2:06.359
6.L,0:10.510,2:16.870
6.L,0:10.510,2:27.381
6.L,0:10.510,2:37.892
6.L,0:10.510,2:48.403
6.L,0:10.510,2:58.914
4.L,0:07.007,3:09.425
6.L,0:10.510,3:16.432
6.L,0:10.510,3:26.943
6.L,0:10.510,3:37.454
6.L,0:10.510,3:47.965
6.L,0:10.510,3:58.476
6.L,0:10.510,4:08.987
6.L,0:10.510,4:19.498
6.L,0:10.510,4:30.009
6.L,0:10.510,4:40.520
6.L,0:10.510,4:51.031
6.L,0:10.510,5:01.542
6.L,0:10.510,5:12.053
x.L,0:09.542,5:22.564
8.L,0:15.204,0:00.256
8.L,0:15.203,0:15.461
8.L,0:15.197,0:30.665
8.L,0:15.199,0:45.862
8.L,0:15.204,1:01.062
8.L,0:15.204,1:16.267
8.L,0:15.204,1:31.471
8.L,0:15.204,1:46.676
8.L,0:15.204,2:01.881
12.L,0:22.807,2:17.086
8.L,0:15.204,2:39.894
8.L,0:15.204,2:55.098
8.L,0:15.204,3:10.303
4.L,0:07.602,3:25.508
8.L,0:15.204,3:33.111
8.L,0:15.204,3:48.316
8.L,0:15.204,4:03.521
x.L,0:07.914,4:18.725
8.L,0:14.014,0:00.234
8.L,0:14.014,0:14.249
8.L,0:14.014,0:28.263
8.L,0:14.014,0:42.278
8.L,0:14.014,0:56.292
8.L,0:14.014,1:10.307
8.L,0:14.014,1:24.322
8.L,0:14.014,1:38.336
8.L,0:14.014,1:52.351
8.L,0:14.014,2:06.365
8.L,0:14.014,2:20.380
8.L,0:14.014,2:34.395
8.L,0:14.014,2:48.409
x.L,0:09.589,3:02.424
8.L,0:14.269,0:00.000
8.L,0:14.014,0:14.269
8.L,0:14.014,0:28.283
8.L,0:14.014,0:42.298
8.L,0:14.014,0:56.312
8.L,0:14.014,1:10.327
8.L,0:17.518,1:24.342
8.L,0:14.014,1:41.860
8.L,0:14.014,1:55.874
8.L,0:13.994,2:09.889
4.L,0:07.027,2:23.904
8.L,0:14.014,2:30.931
4.L,0:06.993,2:44.946
8.L,0:14.014,2:51.939
12.L,0:21.021,3:05.954
8.L,0:14.014,3:26.976
6.L,0:10.510,3:40.990
8.L,0:14.014,3:51.501
8.L,0:14.014,4:05.516
8.L,0:14.014,4:19.531
8.L,0:14.014,4:33.545
8.L,0:14.014,4:47.560
x.L,0:12.705,5:01.574
4.L,0:07.007,0:00.312
4.L,0:07.007,0:07.320
4.L,0:07.007,0:14.327
4.L,0:07.007,0:21.334
4.L,0:07.007,0:28.342
4.L,0:07.007,0:35.349
4.L,0:07.007,0:42.356
4.L,0:07.007,0:49.363
4.L,0:07.007,0:56.371
4.L,0:07.007,1:03.378
4.L,0:07.007,1:10.385
4.L,0:07.007,1:17.393
4.L,0:07.007,1:24.400
4.L,0:07.007,1:31.407
4.L,0:07.007,1:38.415
4.L,0:07.007,1:45.422
4.L,0:07.007,1:52.429
6.L,0:10.510,1:59.436
4.L,0:07.007,2:09.947
4.L,0:07.007,2:16.955
3.L,0:05.255,2:23.962
4.L,0:08.759,2:29.217
x.L,0:13.209,2:37.977
8.L,0:14.625,0:00.210
4.L,0:07.312,0:14.836
8.L,0:14.625,0:22.148
8.L,0:14.625,0:36.774
8.L,0:14.625,0:51.399
8.L,0:14.625,1:06.024
8.L,0:14.625,1:20.649
8.L,0:14.625,1:35.274
4.L,0:07.312,1:49.900
8.L,0:14.625,1:57.212
8.L,0:14.625,2:11.837
8.L,0:14.625,2:26.463
8.L,0:14.625,2:41.088
8.L,0:14.625,2:55.713
8.L,0:14.625,3:10.338
8.L,0:14.625,3:24.964
8.L,0:14.625,3:39.589
8.L,0:14.625,3:54.214
8.L,0:14.625,4:08.839
12.L,0:21.904,4:23.465
8.L,0:14.625,4:45.369
8.L,0:14.625,4:59.995
8.L,0:14.625,5:14.620
8.L,0:14.625,5:29.245
8.L,0:14.625,5:43.870
x.L,0:12.530,5:58.495
8.L,0:14.964,0:03.194
8.L,0:14.964,0:18.159
8.L,0:14.964,0:33.124
8.L,0:14.964,0:48.089
8.L,0:14.964,1:03.054
8.L,0:14.964,1:18.019
8.L,0:14.964,1:32.984
8.L,0:14.964,1:47.949
8.L,0:14.964,2:02.914
8.L,0:14.964,2:17.879
8.L,0:14.964,2:32.844
8.L,0:14.964,2:47.809
8.L,0:14.964,3:02.774
8.L,0:14.964,3:17.739
8.L,0:14.964,3:32.703
8.L,0:14.964,3:47.668
4.L,0:07.600,0:00.018
8.L,0:15.201,0:07.619
8.L,0:15.201,0:22.821
8.L,0:15.201,0:38.023
8.L,0:15.201,0:53.225
8.L,0:15.201,1:08.427
8.L,0:15.201,1:23.629
8.L,0:15.201,1:38.831
8.L,0:15.201,1:54.033
8.L,0:15.201,2:09.235
8.L,0:15.201,2:24.437
8.L,0:15.201,2:39.638
8.L,0:15.201,2:54.840
8.L,0:15.201,3:10.042
8.L,0:15.201,3:25.244
x.L,0:13.793,3:40.446
8.L,0:15.000,0:00.019
8.L,0:15.000,0:15.019
8.L,0:15.000,0:30.019
8.L,0:15.000,0:45.019
8.L,0:15.000,1:00.019
8.L,0:15.000,1:15.019
8.L,0:15.000,1:30.019
8.L,0:15.000,1:45.019
8.L,0:15.000,2:00.019
8.L,0:15.000,2:15.037
8.L,0:15.000,2:30.037
8.L,0:15.000,2:45.037
10.L,0:18.750,3:00.037
8.L,0:15.000,3:18.787
8.L,0:15.000,3:33.787
8.L,0:15.000,3:48.787
8.L,0:15.000,4:03.787
x.L,0:08.905,4:18.787
8.L,0:15.474,0:00.000
8.L,0:15.330,0:15.474
4.L,0:07.695,0:30.804
8.L,0:15.423,0:38.500
8.L,0:15.371,0:53.923
8.L,0:15.372,1:09.295
8.L,0:15.372,1:24.667
8.L,0:15.372,1:40.039
?.L,0:32.834,1:55.411
8.L,0:15.388,2:28.246
8.L,0:15.409,2:43.634
8.L,0:15.388,2:59.044
8.L,0:15.286,3:14.432
x.L,0:11.573,3:29.719
8.L,0:15.609,0:00.026
8.L,0:15.609,0:15.636
8.L,0:15.609,0:31.245
8.L,0:15.609,0:46.855
8.L,0:15.609,1:02.465
8.L,0:15.609,1:18.075
8.L,0:15.609,1:33.685
8.L,0:15.609,1:49.294
8.L,0:15.609,2:04.904
8.L,0:15.609,2:20.514
8.L,0:15.609,2:36.124
8.L,0:15.609,2:51.733
8.L,0:15.609,3:07.343
8.L,0:15.609,3:22.953
8.L,0:15.609,3:38.563
8.L,0:15.609,3:54.172
8.L,0:15.609,4:09.782
8.L,0:15.609,4:25.427
8.L,0:15.609,4:41.037
4.L,0:07.804,4:56.646
8.L,0:15.609,5:04.451
x.L,0:04.338,5:20.061
4.L,0:07.338,0:00.000
8.L,0:14.623,0:07.338
8.L,0:14.623,0:21.961
8.L,0:14.623,0:36.584
8.L,0:14.623,0:51.207
8.L,0:14.623,1:05.830
8.L,0:14.623,1:20.453
4.L,0:07.311,1:35.076
4.L,0:07.311,1:42.387
8.L,0:14.623,1:49.699
8.L,0:14.623,2:04.322
8.L,0:14.623,2:18.945
8.L,0:14.623,2:33.568
8.L,0:14.623,2:48.191
8.L,0:14.623,3:02.814
8.L,0:14.623,3:17.437
8.L,0:14.623,3:32.060
x.L,0:05.849,3:46.683
