TIME,VALUE,DURATION,LABEL
0.000000000,1,37.600000000,A
37.600000000,2,6.400000000,B
44.000000000,3,5.800000000,C
49.800000000,4,7.000000000,D
56.800000000,5,7.000000000,E
63.800000000,4,9.200000000,D
73.000000000,2,33.000000000,B
106.000000000,3,6.000000000,C
112.000000000,4,7.000000000,D
119.000000000,5,6.800000000,E
125.800000000,4,9.000000000,D
134.800000000,6,13.800000000,F
148.600000000,1,7.800000000,A
156.400000000,6,17.200000000,F
173.600000000,4,7.400000000,D
181.000000000,5,7.600000000,E
188.600000000,4,8.000000000,D
196.600000000,5,7.800000000,E
204.400000000,4,7.600000000,D
212.000000000,5,7.800000000,E
219.800000000,4,6.200000000,D
226.000000000,1,17.800000000,A
