TIME,VALUE,DURATION,LABEL
0.000000000,0,13.072834467,N1
13.072834467,1,15.348390023,A
28.421224490,1,15.360000000,A
43.781224490,1,15.360000000,A
59.141224490,0,30.731609977,N2
89.872834467,1,15.336780045,A
105.209614512,1,15.371609977,A
120.581224490,1,15.360000000,A
135.941224490,1,15.360000000,A
151.301224490,1,15.371609977,A
166.672834467,1,15.360000000,A
182.032834467,1,15.348390023,A
197.381224490,1,15.360000000,A
212.741224490,1,15.360000000,A
228.101224490,1,15.360000000,A
243.461224490,1,15.360000000,A
258.821224490,1,19.644081633,A
