TIME,VALUE,DURATION,LABEL
0.0,1,28.8,1
28.8,2,21.4,2
50.2,3,7.0,3
57.2,2,7.4,2
64.6,3,7.2,3
71.8,2,7.0,2
78.8,3,8.4,3
87.2,1,27.4,1
114.6,4,13.0,4
127.6,5,4.2,5
131.8,4,10.6,4
142.4,6,9.8,6
152.2,7,5.0,7
157.2,6,9.4,6
166.6,7,4.8,7
171.4,1,42.2,1
213.6,5,4.2,5
217.8,4,10.0,4
227.8,5,4.2,5
232.0,4,9.6,4
241.6,5,4.8,5
246.4,4,10.0,4
256.4,5,4.2,5
260.6,4,10.2,4
270.8,6,10.2,6
281.0,7,4.6,7
285.6,6,9.8,6
295.4,7,4.6,7
300.0,6,9.8,6
309.8,1,38.4,1
