TIME,VALUE,DURATION,LABEL
0.0,0,19.226122449,N1
19.226122449,2,15.000090703,B
34.226213152,0,7.500045351,N2
41.726258503,2,18.297324263,B
60.023582766,1,15.464489796,A
75.488072562,1,15.522539683,A
91.010612245,3,14.976870748,C
105.987482993,3,14.036462585,C
120.023945578,1,15.000090703,A
135.024036281,1,15.000090703,A
150.024126984,1,15.023310658,A
165.047437642,0,33.750204082,N8
198.797641723,1,14.791111111,A
213.588752834,1,14.988480726,A
228.57723356,1,15.000090703,A
243.577324263,1,14.988480726,A
258.565804989,0,8.719092971,N9
