File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_20.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO20L.csv,10,6,5,0.6250,0.6667,0.6452
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_21.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO21L.csv,9,7,8,0.5625,0.5294,0.5455
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_22.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO22L.csv,10,8,5,0.5556,0.6667,0.6061
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_23.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO23L.csv,0,14,9,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_24.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO24L.csv,1,21,13,0.0455,0.0714,0.0556
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_25.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO25L.csv,4,14,7,0.2222,0.3636,0.2759
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_26.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO26L.csv,11,8,7,0.5789,0.6111,0.5946
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_27.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO27L.csv,2,10,10,0.1667,0.1667,0.1667
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_28.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO28L.csv,0,16,16,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_29.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO29L.csv,13,1,2,0.9286,0.8667,0.8966
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_30.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO30L.csv,6,9,6,0.4000,0.5000,0.4444
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_31.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO31L.csv,13,5,2,0.7222,0.8667,0.7879
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_32.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO32L.csv,0,18,3,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_33.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO33L.csv,0,17,11,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_34.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO34L.csv,0,19,18,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_35.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO35L.csv,1,6,5,0.1429,0.1667,0.1538
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_36.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO36L.csv,0,16,16,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_37.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO37L.csv,5,12,8,0.2941,0.3846,0.3333
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_38.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO38L.csv,0,19,7,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_39.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO39L.csv,4,13,10,0.2353,0.2857,0.2581
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_40.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO40L.csv,2,17,7,0.1053,0.2222,0.1429
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_41.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO41L.csv,7,10,5,0.4118,0.5833,0.4828
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_42.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO42L.csv,6,12,9,0.3333,0.4000,0.3636
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_43.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO43L.csv,0,11,7,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_44.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO44L.csv,0,12,6,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_45.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO45L.csv,0,15,14,0.0000,0.0000,0.0000
