TIME,VALUE,DURATION,LABEL
0.000000000,1,13.400000000,A
13.400000000,2,6.800000000,B
20.200000000,3,10.400000000,C
30.600000000,2,5.600000000,B
36.200000000,3,5.800000000,C
42.000000000,2,2.000000000,B
44.000000000,4,4.000000000,D
48.000000000,5,6.200000000,E
54.200000000,4,3.400000000,D
57.600000000,5,7.800000000,E
65.400000000,6,2.800000000,F
68.200000000,7,4.600000000,G
72.800000000,8,3.600000000,H
76.400000000,6,2.600000000,F
79.000000000,7,5.000000000,G
84.000000000,8,3.400000000,H
87.400000000,6,2.600000000,F
90.000000000,7,4.800000000,G
94.800000000,8,3.800000000,H
98.600000000,6,2.200000000,F
100.800000000,7,5.000000000,G
105.800000000,8,3.000000000,H
108.800000000,1,4.000000000,A
