TIME,VALUE,DURATION,LABEL
0.000000000,1,28.800000000,A
28.800000000,2,21.400000000,B
50.200000000,3,7.000000000,C
57.200000000,2,7.400000000,B
64.600000000,3,7.200000000,C
71.800000000,2,7.000000000,B
78.800000000,3,8.400000000,C
87.200000000,1,27.400000000,A
114.600000000,4,13.000000000,D
127.600000000,5,4.200000000,E
131.800000000,4,10.600000000,D
142.400000000,6,9.800000000,F
152.200000000,7,5.000000000,G
157.200000000,6,9.400000000,F
166.600000000,7,4.800000000,G
171.400000000,1,42.200000000,A
213.600000000,5,4.200000000,E
217.800000000,4,10.000000000,D
227.800000000,5,4.200000000,E
232.000000000,4,9.600000000,D
241.600000000,5,4.800000000,E
246.400000000,4,10.000000000,D
256.400000000,5,4.200000000,E
260.600000000,4,10.200000000,D
270.800000000,6,10.200000000,F
281.000000000,7,4.600000000,G
285.600000000,6,9.800000000,F
295.400000000,7,4.600000000,G
300.000000000,6,9.800000000,F
309.800000000,1,38.400000000,A
