TIME,VALUE,DURATION,LABEL
0.000000000,1,15.000000000,A
15.000000000,2,6.800000000,B
21.800000000,3,5.800000000,C
27.600000000,2,9.600000000,B
37.200000000,3,6.000000000,C
43.200000000,2,9.400000000,B
52.600000000,3,5.800000000,C
58.400000000,2,9.400000000,B
67.800000000,3,5.600000000,C
73.400000000,1,9.800000000,A
83.200000000,4,7.600000000,D
90.800000000,2,6.200000000,B
97.000000000,4,9.000000000,D
106.000000000,2,4.800000000,B
110.800000000,5,5.800000000,E
116.600000000,6,8.200000000,F
124.800000000,5,7.200000000,E
132.000000000,6,8.200000000,F
140.200000000,5,7.200000000,E
147.400000000,6,6.400000000,F
153.800000000,1,33.200000000,A
187.000000000,4,13.000000000,D
200.000000000,2,4.600000000,B
204.600000000,4,9.000000000,D
213.600000000,2,5.000000000,B
218.600000000,5,5.600000000,E
224.200000000,6,8.000000000,F
232.200000000,5,7.400000000,E
239.600000000,6,6.600000000,F
246.200000000,2,7.600000000,B
253.800000000,6,7.800000000,F
261.600000000,2,7.600000000,B
269.200000000,6,9.600000000,F
