TIME,VALUE,DURATION,LABEL
0.000000000,1,23.800000000,A
23.800000000,2,29.200000000,B
53.000000000,3,8.800000000,C
61.800000000,4,6.800000000,D
68.600000000,5,8.600000000,E
77.200000000,4,8.000000000,D
85.200000000,6,7.800000000,F
93.000000000,1,4.200000000,A
97.200000000,2,28.600000000,B
125.800000000,3,9.200000000,C
135.000000000,4,6.600000000,D
141.600000000,5,8.600000000,E
150.200000000,4,6.800000000,D
157.000000000,5,8.600000000,E
165.600000000,4,9.800000000,D
175.400000000,6,14.800000000,F
190.200000000,1,27.400000000,A
