TIME,VALUE,DURATION,LABEL
0.000000000,1,22.400000000,A
22.400000000,2,5.200000000,B
27.600000000,1,9.800000000,A
37.400000000,2,7.400000000,B
44.800000000,3,4.400000000,C
49.200000000,4,7.800000000,D
57.000000000,5,7.200000000,E
64.200000000,4,8.800000000,D
73.000000000,6,11.000000000,F
84.000000000,2,6.200000000,B
90.200000000,6,9.400000000,F
99.600000000,2,7.200000000,B
106.800000000,3,4.600000000,C
111.400000000,4,7.600000000,D
119.000000000,5,7.000000000,E
126.000000000,4,9.000000000,D
135.000000000,6,13.200000000,F
148.200000000,1,8.400000000,A
156.600000000,6,12.800000000,F
169.400000000,7,4.200000000,G
173.600000000,4,6.600000000,D
180.200000000,5,8.400000000,E
188.600000000,4,7.000000000,D
195.600000000,5,8.600000000,E
204.200000000,4,6.400000000,D
210.600000000,5,9.200000000,E
219.800000000,6,24.000000000,F
