TIME,VALUE,DURATION,LABEL
0.000000000,1,14.600000000,A
14.600000000,2,16.000000000,B
30.600000000,3,3.600000000,C
34.200000000,2,7.600000000,B
41.800000000,3,3.200000000,C
45.000000000,4,19.200000000,D
64.200000000,5,1.800000000,E
66.000000000,6,2.600000000,F
68.600000000,7,3.600000000,G
72.200000000,8,2.200000000,H
74.400000000,5,2.600000000,E
77.000000000,6,2.600000000,F
79.600000000,7,3.600000000,G
83.200000000,8,2.200000000,H
85.400000000,5,2.600000000,E
88.000000000,6,2.400000000,F
90.400000000,7,3.600000000,G
94.000000000,8,2.200000000,H
96.200000000,5,2.800000000,E
99.000000000,6,2.400000000,F
101.400000000,7,3.600000000,G
105.000000000,8,2.200000000,H
107.200000000,5,2.000000000,E
109.200000000,4,3.600000000,D
