TIME,VALUE,DURATION,LABEL
0.000000000,1,44.600000000,A
44.600000000,2,11.400000000,B
56.000000000,3,7.000000000,C
63.000000000,2,14.000000000,B
77.000000000,3,7.200000000,C
84.200000000,2,13.400000000,B
97.600000000,4,8.600000000,D
106.200000000,1,12.000000000,A
118.200000000,4,11.400000000,D
129.600000000,5,18.000000000,E
147.600000000,4,6.000000000,D
153.600000000,1,26.200000000,A
179.800000000,4,13.600000000,D
193.400000000,1,16.000000000,A
209.400000000,4,7.000000000,D
216.400000000,5,14.400000000,E
230.800000000,1,12.400000000,A
243.200000000,3,9.000000000,C
252.200000000,2,21.200000000,B
273.400000000,1,6.200000000,A
279.600000000,6,10.800000000,F
