CLIP_NAME,DURATION,TIMESTAMP
4.L,7.559,0.24
4.L,7.559,7.799
4.L,7.559,15.359
4.L,7.559,22.918
4.L,7.559,30.477
4.L,7.559,38.036
4.L,7.559,45.595
4.L,7.559,53.154
4.L,7.559,60.713
4.L,7.559,68.272
4.L,7.559,75.831
4.L,7.559,83.39
4.L,7.559,90.949
4.L,7.559,98.508
4.L,7.559,106.067
4.L,7.559,113.626
4.L,7.559,121.185
4.L,7.559,128.744
4.L,7.559,136.303
4.L,7.559,143.862
4.L,7.559,151.422
4.L,7.559,158.981
4.L,7.559,166.54
4.L,7.559,174.099
4.L,7.559,181.658
4.L,7.559,189.217
4.L,7.559,196.776
4.L,7.559,204.335
4.L,7.559,211.894
4.L,7.559,219.453
4.L,7.559,227.012
4.L,7.559,234.571
4.L,7.559,242.13
4.L,7.559,249.689
4.L,7.559,257.248
4.L,7.559,264.807
6.L,11.338,272.366
4.L,7.559,283.705
4.L,7.559,291.264
4.L,7.559,298.823
4.L,7.559,306.382
4.L,7.559,313.941
4.L,7.559,321.5
4.L,7.559,329.059
4.L,7.559,336.618
x.L,2.382,344.177
