CLIP_NAME,DURATION,TIMESTAMP
8.R,0:14.269,0.0
8.R,0:14.014,14.269
8.R,0:14.014,28.283
8.R,0:14.014,42.298
8.R,0:14.014,56.312
8.R,0:14.014,70.327
8.R,0:17.518,84.342
8.R,0:14.014,101.86
8.R,0:14.014,115.874
8.R,0:13.994,129.889
4.R,0:07.027,143.904
8.R,0:14.014,150.931
4.R,0:06.993,164.946
8.R,0:14.014,171.939
12.R,0:21.021,185.954
8.R,0:14.014,206.976
6.R,0:10.510,220.99
8.R,0:14.014,231.501
8.R,0:14.014,245.516
8.R,0:14.014,259.531
8.R,0:14.014,273.545
8.R,0:14.014,287.56
x.R,0:12.705,301.574
