CLIP_NAME,DURATION,TIMESTAMP
4.R,0:07.559,0.24
4.R,0:07.559,7.799
4.R,0:07.559,15.359
4.R,0:07.559,22.918
4.R,0:07.559,30.477
4.R,0:07.559,38.036
4.R,0:07.559,45.595
4.R,0:07.559,53.154
4.R,0:07.559,60.713
4.R,0:07.559,68.272
4.R,0:07.559,75.831
4.R,0:07.559,83.39
4.R,0:07.559,90.949
4.R,0:07.559,98.508
4.R,0:07.559,106.067
4.R,0:07.559,113.626
4.R,0:07.559,121.185
4.R,0:07.559,128.744
4.R,0:07.559,136.303
4.R,0:07.559,143.862
4.R,0:07.559,151.422
4.R,0:07.559,158.981
4.R,0:07.559,166.54
4.R,0:07.559,174.099
4.R,0:07.559,181.658
4.R,0:07.559,189.217
4.R,0:07.559,196.776
4.R,0:07.559,204.335
4.R,0:07.559,211.894
4.R,0:07.559,219.453
4.R,0:07.559,227.012
4.R,0:07.559,234.571
4.R,0:07.559,242.13
4.R,0:07.559,249.689
4.R,0:07.559,257.248
4.R,0:07.559,264.807
6.R,0:11.338,272.366
4.R,0:07.559,283.705
4.R,0:07.559,291.264
4.R,0:07.559,298.823
4.R,0:07.559,306.382
4.R,0:07.559,313.941
4.R,0:07.559,321.5
4.R,0:07.559,329.059
4.R,0:07.559,336.618
x.R,0:02.382,344.177
