CLIP_NAME,DURATION,TIMESTAMP
8.L,0:14.769,0.158
8.L,0:14.769,14.928
8.L,0:14.769,29.697
4.L,0:07.384,44.466
8.L,0:14.769,51.851
8.L,0:14.769,66.62
8.L,0:14.769,81.389
4.L,0:07.384,96.158
8.L,0:14.769,103.543
8.L,0:14.769,118.312
4.L,0:07.384,133.081
4.L,0:07.384,140.466
8.L,0:14.769,147.851
8.L,0:14.769,162.62
8.L,0:14.769,177.389
4.L,0:07.384,192.158
8.L,0:14.769,199.543
x.L,0:05.540,214.312
x.L,0:16.000,3.983
8.L,0:21.333,19.983
8.L,0:21.333,41.317
8.L,0:21.333,62.65
8.L,0:21.333,83.983
8.L,0:21.333,105.317
8.L,0:21.333,126.65
8.L,0:21.333,147.983
8.L,0:21.333,169.317
8.L,0:21.333,190.65
8.L,0:21.333,211.983
x.L,0:17.296,233.317
