CLIP_NAME,DURATION,TIMESTAMP
I1->.R,0:14.328,0.171
I2.R,0:14.328,14.499
I2.R,0:14.328,28.826999999999998
->.R,0:14.328,43.156
C.R,0:14.328,57.484
<- post C.R,0:14.328,71.812
C inst.R,0:14.328,86.141
C mod.R,0:14.328,100.469
C inst.R,0:14.328,114.797
C mod.R,0:14.328,129.126
I->.R,0:14.328,143.454
I2.R,0:14.328,157.782
C inst.R,0:14.328,172.111
C mod.R,0:14.328,186.439
C inst.R,0:14.328,200.768
C mod inst.R,0:14.328,215.096
C min.R,0:14.328,229.424
C mod min.R,0:14.328,243.753
x.R,0:10.638,258.081
