CLIP_NAME,DURATION,TIMESTAMP
I1->.L,0:14.328,0.171
I2.L,0:14.328,14.499
I2.L,0:14.328,28.826999999999998
->.L,0:14.328,43.156
C.L,0:14.328,57.484
<- post C.L,0:14.328,71.812
C inst.L,0:14.328,86.141
C mod.L,0:14.328,100.469
C inst.L,0:14.328,114.797
C mod.L,0:14.328,129.126
I->.L,0:14.328,143.454
I2.L,0:14.328,157.782
C inst.L,0:14.328,172.111
C mod.L,0:14.328,186.439
C inst.L,0:14.328,200.768
C mod inst.L,0:14.328,215.096
C min.L,0:14.328,229.424
C mod min.L,0:14.328,243.753
x.L,0:10.638,258.081
