CLIP_NAME,DURATION,TIMESTAMP
8.R,0:14.396,0.0
8.R,0:14.401,14.396
8.R,0:14.401,28.797
8.R,0:14.401,43.199
8.R,0:14.401,57.6
8.R,0:14.401,72.002
8.R,0:14.401,86.403
8.R,0:14.401,100.805
8.R,0:14.401,115.206
8.R,0:14.401,129.608
8.R,0:14.401,144.009
8.R,0:14.401,158.41
8.R,0:14.401,172.812
8.R,0:14.401,187.213
8.R,0:14.401,201.615
8.R,0:14.401,216.016
8.R,0:14.401,230.418
8.R,0:14.401,244.819
8.R,0:14.401,259.221
4.R,0:07.200,273.622
8.R,0:14.401,280.823
8.R,0:14.401,295.224
8.R,0:14.401,309.626
8.R,0:14.401,324.027
x.R,0:10.779,338.428
