TIME,VALUE,DURATION,LABEL
0.000000000,0,3.308843537,N1
3.308843537,1,14.779501134,A
18.088344671,1,12.515555556,A
30.603900227,0,16.126258503,N3
46.730158730,1,14.326712018,A
61.056870748,1,14.326712018,A
75.383582766,1,14.326712018,A
89.710294785,1,14.326712018,A
104.037006803,1,14.326712018,A
118.363718821,1,14.326712018,A
132.690430839,1,12.550385488,A
145.240816327,0,30.441360544,N10
175.682176871,1,14.779501134,A
190.461678005,1,14.326712018,A
204.788390023,1,14.326712018,A
219.115102041,1,13.873922902,A
232.989024943,1,12.538775510,A
245.527800454,0,22.871655329,N15
