TIME,VALUE,DURATION,LABEL
0.000000000,0,7.720634921,N1
7.720634921,1,15.487709751,A
23.208344671,0,30.963809524,N2
54.172154195,1,15.487709751,A
69.659863946,1,15.963718821,A
85.623582766,2,15.000090703,B
100.623673469,1,15.476099773,A
116.099773243,0,7.743854875,N5
123.843628118,1,15.487709751,A
139.331337868,1,15.487709751,A
154.819047619,0,7.743854875,N6
162.562902494,2,15.476099773,B
178.039002268,1,15.487709751,A
193.526712018,1,15.476099773,A
209.002811791,1,15.476099773,A
224.478911565,0,6.373877551,N8
