TIME,VALUE,DURATION,LABEL
0.000000000,0,12.457505669,N1
12.457505669,2,12.480725624,B
24.938231293,0,5.352199546,N2
30.290430839,2,12.492335601,B
42.782766440,0,15.603809524,N3
58.386575964,1,14.257052154,A
72.643628118,1,14.048072562,A
86.691700680,1,14.268662132,A
100.960362812,1,14.709841270,A
115.670204082,1,14.268662132,A
129.938866213,0,35.445260771,N5
165.384126984,3,13.781043084,C
179.165170068,0,21.664217687,N6
200.829387755,3,14.245442177,C
215.074829932,0,14.500861678,N7
229.575691610,1,14.048072562,A
243.623764172,1,14.268662132,A
257.892426304,1,14.268662132,A
272.161088435,0,15.162630385,N8
287.323718821,2,12.840634921,B
300.164353741,2,18.808163265,B
