TIME,VALUE,DURATION,LABEL
0.0,0,5.050340136,N1
5.050340136,2,13.943582766,B
18.993922902,2,12.829024943,B
31.822947846,1,14.396371882,A
46.219319728,2,13.955192744,B
60.174512472,1,14.396371882,A
74.570884354,1,14.396371882,A
88.967256236,1,12.596825397,A
101.564081633,0,18.030294785,N8
119.594376417,1,12.608435374,A
132.202811791,1,14.605351474,A
146.808163265,1,14.396371882,A
161.204535147,1,14.396371882,A
175.600907029,1,16.207528345,A
191.808435374,2,12.596825397,B
204.405260771,0,19.121632653,N13
