TIME,VALUE,DURATION,LABEL
0.0,0,23.440544218,N1
23.440544218,1,37.941405896,A
61.381950113,1,37.929795918,A
99.311746032,0,7.59292517,N2
106.904671202,2,17.066666667,B
123.971337868,0,13.281814059,N3
137.253151927,2,17.066666667,B
154.319818594,0,13.270204082,N4
167.590022676,1,37.929795918,A
205.519818594,0,7.581315193,N5
213.101133787,1,37.941405896,A
251.042539683,2,17.078276644,B
268.120816327,0,5.688888889,N6
273.809705215,1,37.929795918,A
311.739501134,0,5.688888889,N7
317.428390023,2,17.066666667,B
334.495056689,0,17.473015873,N8
