TIME,VALUE,DURATION,LABEL
0.0,0,5.073560091,N1
5.073560091,2,14.106122449,B
19.17968254,2,14.129342404,B
33.309024943,2,12.353015873,B
45.662040816,0,16.312018141,N4
61.974058957,1,14.117732426,A
76.091791383,1,14.117732426,A
90.20952381,0,14.117732426,N5
104.327256236,1,14.117732426,A
118.444988662,1,14.117732426,A
132.562721088,1,14.117732426,A
146.680453515,1,14.117732426,A
160.798185941,0,6.617687075,N6
167.415873016,2,14.558911565,B
181.97478458,1,14.117732426,A
196.092517007,0,21.176598639,N8
217.269115646,1,14.117732426,A
231.386848073,1,14.117732426,A
245.504580499,1,14.106122449,A
259.610702948,0,21.176598639,N9
280.787301587,1,14.117732426,A
294.905034014,1,14.117732426,A
309.02276644,0,13.525623583,N10
