TIME,VALUE,DURATION,LABEL
0.000000000,1,50.200000000,A
50.200000000,2,5.800000000,B
56.000000000,3,6.800000000,C
62.800000000,2,14.600000000,B
77.400000000,3,6.600000000,C
84.000000000,4,14.000000000,D
98.000000000,1,20.200000000,A
118.200000000,5,8.400000000,E
126.600000000,1,19.800000000,A
146.400000000,5,7.800000000,E
154.200000000,1,55.200000000,A
209.400000000,5,8.000000000,E
217.400000000,1,20.200000000,A
237.600000000,6,7.200000000,F
244.800000000,3,7.400000000,C
252.200000000,4,4.400000000,D
256.600000000,2,16.800000000,B
273.400000000,6,7.200000000,F
280.600000000,3,9.800000000,C
