TIME,VALUE,DURATION,LABEL
0.000000000,1,30.600000000,A
30.600000000,2,7.200000000,B
37.800000000,3,7.200000000,C
45.000000000,1,14.800000000,A
59.800000000,4,7.000000000,D
66.800000000,3,7.400000000,C
74.200000000,4,7.000000000,D
81.200000000,3,6.800000000,C
88.000000000,1,58.000000000,A
146.000000000,5,7.600000000,E
153.600000000,3,7.400000000,C
161.000000000,5,7.000000000,E
168.000000000,3,7.400000000,C
175.400000000,5,7.200000000,E
182.600000000,3,6.200000000,C
188.800000000,6,28.800000000,F
217.600000000,1,6.200000000,A
