TIME,VALUE,DURATION,LABEL
0.000000000,1,41.800000000,A
41.800000000,2,11.400000000,B
53.200000000,3,6.600000000,C
59.800000000,1,5.600000000,A
65.400000000,4,4.400000000,D
69.800000000,3,15.600000000,C
85.400000000,4,8.600000000,D
94.000000000,3,15.400000000,C
109.400000000,4,7.000000000,D
116.400000000,5,17.000000000,E
133.400000000,4,6.600000000,D
140.000000000,5,16.600000000,E
156.600000000,4,8.600000000,D
165.200000000,6,13.600000000,F
178.800000000,1,8.000000000,A
186.800000000,6,18.600000000,F
205.400000000,2,4.600000000,B
210.000000000,6,16.800000000,F
226.800000000,2,7.000000000,B
233.800000000,6,17.200000000,F
251.000000000,2,13.400000000,B
264.400000000,5,16.800000000,E
281.200000000,7,14.200000000,G
295.400000000,4,7.800000000,D
303.200000000,1,21.000000000,A
