TIME,VALUE,DURATION,LABEL
0.000000000,1,31.200000000,A
31.200000000,2,55.200000000,B
86.400000000,3,28.200000000,C
114.600000000,4,8.200000000,D
122.800000000,5,6.800000000,E
129.600000000,4,7.600000000,D
137.200000000,5,5.200000000,E
142.400000000,6,5.400000000,F
147.800000000,7,10.200000000,G
158.000000000,6,4.200000000,F
162.200000000,7,10.200000000,G
172.400000000,1,31.800000000,A
204.200000000,3,4.400000000,C
208.600000000,1,6.400000000,A
215.000000000,4,8.000000000,D
223.000000000,5,6.800000000,E
229.800000000,4,7.400000000,D
237.200000000,5,6.800000000,E
244.000000000,4,7.600000000,D
251.600000000,5,6.800000000,E
258.400000000,4,7.600000000,D
266.000000000,5,5.400000000,E
271.400000000,6,5.400000000,F
276.800000000,7,10.000000000,G
286.800000000,6,4.200000000,F
291.000000000,7,11.400000000,G
302.400000000,3,21.000000000,C
323.400000000,1,24.800000000,A
