TIME,TIME_DIFF
1970-01-01 00:00:00.000000012,1.2e-08
1970-01-01 00:00:00.000000018,6e-09
1970-01-01 00:00:00.000000022,4e-09
1970-01-01 00:00:00.000000026,4e-09
1970-01-01 00:00:00.000000030,4e-09
1970-01-01 00:00:00.000000033,3e-09
1970-01-01 00:00:00.000000036,3e-09
1970-01-01 00:00:00.000000037,1e-09
1970-01-01 00:00:00.000000041,4e-09
1970-01-01 00:00:00.000000044,3e-09
1970-01-01 00:00:00.000000060,1.6e-08
1970-01-01 00:00:00.000000064,4e-09
1970-01-01 00:00:00.000000068,4e-09
1970-01-01 00:00:00.000000073,5e-09
1970-01-01 00:00:00.000000076,3e-09
1970-01-01 00:00:00.000000079,3e-09
1970-01-01 00:00:00.000000084,5e-09
1970-01-01 00:00:00.000000087,3e-09
1970-01-01 00:00:00.000000090,3e-09
1970-01-01 00:00:00.000000095,5e-09
1970-01-01 00:00:00.000000098,3e-09
1970-01-01 00:00:00.000000101,3e-09
1970-01-01 00:00:00.000000106,5e-09
1970-01-01 00:00:00.000000109,3e-09
1970-01-01 00:00:00.000000016,1.6e-08
1970-01-01 00:00:00.000000030,1.4e-08
1970-01-01 00:00:00.000000035,5e-09
1970-01-01 00:00:00.000000041,6e-09
1970-01-01 00:00:00.000000044,3e-09
1970-01-01 00:00:00.000000064,2e-08
1970-01-01 00:00:00.000000066,2e-09
1970-01-01 00:00:00.000000069,3e-09
1970-01-01 00:00:00.000000072,3e-09
1970-01-01 00:00:00.000000074,2e-09
1970-01-01 00:00:00.000000077,3e-09
1970-01-01 00:00:00.000000080,3e-09
1970-01-01 00:00:00.000000083,3e-09
1970-01-01 00:00:00.000000085,2e-09
1970-01-01 00:00:00.000000088,3e-09
1970-01-01 00:00:00.000000090,2e-09
1970-01-01 00:00:00.000000094,4e-09
1970-01-01 00:00:00.000000096,2e-09
1970-01-01 00:00:00.000000099,3e-09
1970-01-01 00:00:00.000000101,2e-09
1970-01-01 00:00:00.000000105,4e-09
1970-01-01 00:00:00.000000108,3e-09
1970-01-01 00:00:00.000000013,1.3e-08
1970-01-01 00:00:00.000000020,7e-09
1970-01-01 00:00:00.000000030,1e-08
1970-01-01 00:00:00.000000036,6e-09
1970-01-01 00:00:00.000000042,6e-09
1970-01-01 00:00:00.000000044,2e-09
1970-01-01 00:00:00.000000048,4e-09
1970-01-01 00:00:00.000000054,6e-09
1970-01-01 00:00:00.000000057,3e-09
1970-01-01 00:00:00.000000065,8e-09
1970-01-01 00:00:00.000000068,3e-09
1970-01-01 00:00:00.000000072,4e-09
1970-01-01 00:00:00.000000076,4e-09
1970-01-01 00:00:00.000000079,3e-09
1970-01-01 00:00:00.000000084,5e-09
1970-01-01 00:00:00.000000087,3e-09
1970-01-01 00:00:00.000000090,3e-09
1970-01-01 00:00:00.000000094,4e-09
1970-01-01 00:00:00.000000098,4e-09
1970-01-01 00:00:00.000000100,2e-09
1970-01-01 00:00:00.000000105,5e-09
1970-01-01 00:00:00.000000108,3e-09
1970-01-01 00:00:00.000000012,1.2e-08
1970-01-01 00:00:00.000000016,4e-09
1970-01-01 00:00:00.000000022,6e-09
1970-01-01 00:00:00.000000023,1e-09
1970-01-01 00:00:00.000000027,4e-09
1970-01-01 00:00:00.000000028,1e-09
1970-01-01 00:00:00.000000033,5e-09
1970-01-01 00:00:00.000000038,5e-09
1970-01-01 00:00:00.000000039,1e-09
1970-01-01 00:00:00.000000043,4e-09
1970-01-01 00:00:00.000000049,6e-09
1970-01-01 00:00:00.000000053,4e-09
1970-01-01 00:00:00.000000059,6e-09
1970-01-01 00:00:00.000000065,6e-09
1970-01-01 00:00:00.000000068,3e-09
1970-01-01 00:00:00.000000072,4e-09
1970-01-01 00:00:00.000000076,4e-09
1970-01-01 00:00:00.000000079,3e-09
1970-01-01 00:00:00.000000084,5e-09
1970-01-01 00:00:00.000000087,3e-09
1970-01-01 00:00:00.000000090,3e-09
1970-01-01 00:00:00.000000094,4e-09
1970-01-01 00:00:00.000000098,4e-09
1970-01-01 00:00:00.000000101,3e-09
1970-01-01 00:00:00.000000105,4e-09
1970-01-01 00:00:00.000000109,4e-09
1970-01-01 00:00:00.000000020,2e-08
1970-01-01 00:00:00.000000023,3e-09
1970-01-01 00:00:00.000000026,3e-09
1970-01-01 00:00:00.000000034,8e-09
1970-01-01 00:00:00.000000038,4e-09
1970-01-01 00:00:00.000000044,6e-09
1970-01-01 00:00:00.000000047,3e-09
1970-01-01 00:00:00.000000055,8e-09
1970-01-01 00:00:00.000000057,2e-09
1970-01-01 00:00:00.000000064,7e-09
1970-01-01 00:00:00.000000066,2e-09
1970-01-01 00:00:00.000000067,1e-09
1970-01-01 00:00:00.000000071,4e-09
1970-01-01 00:00:00.000000074,3e-09
1970-01-01 00:00:00.000000077,3e-09
1970-01-01 00:00:00.000000079,2e-09
