File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_22.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented22L.csv,1,17,25,0.0556,0.0385,0.0455
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_23.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented23L.csv,2,12,14,0.1429,0.1250,0.1333
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_24.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented24L.csv,2,20,23,0.0909,0.0800,0.0851
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_25.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented25L.csv,0,18,9,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_26.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented26L.csv,0,19,24,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_27.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented27L.csv,1,11,18,0.0833,0.0526,0.0645
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_28.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented28L.csv,1,15,13,0.0625,0.0714,0.0667
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_29.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented29L.csv,6,8,7,0.4286,0.4615,0.4444
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_30.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented30L.csv,1,14,16,0.0667,0.0588,0.0625
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_31.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented31L.csv,2,16,10,0.1111,0.1667,0.1333
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_32.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented32L.csv,2,16,13,0.1111,0.1333,0.1212
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_33.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented33L.csv,3,14,10,0.1765,0.2308,0.2000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_34.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented34L.csv,0,19,28,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_35.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented35L.csv,1,6,6,0.1429,0.1429,0.1429
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_36.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented36L.csv,1,15,26,0.0625,0.0370,0.0465
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_37.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented37L.csv,2,15,7,0.1176,0.2222,0.1538
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_38.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented38L.csv,0,19,15,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_39.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented39L.csv,4,13,9,0.2353,0.3077,0.2667
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_40.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented40L.csv,2,17,20,0.1053,0.0909,0.0976
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_41.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented41L.csv,4,13,9,0.2353,0.3077,0.2667
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_42.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented42L.csv,0,18,11,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_43.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented43L.csv,0,11,12,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_44.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented44L.csv,1,11,7,0.0833,0.1250,0.1000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_45.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented45L.csv,2,13,22,0.1333,0.0833,0.1026
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_46.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented46L.csv,1,22,10,0.0435,0.0909,0.0588
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_47.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented47L.csv,0,15,24,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_48.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented48L.csv,1,18,32,0.0526,0.0303,0.0385
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_49.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented49L.csv,3,13,10,0.1875,0.2308,0.2069
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_50.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented50L.csv,1,27,24,0.0357,0.0400,0.0377
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_51.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented51L.csv,0,20,13,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_52.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented52L.csv,0,10,9,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_53.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented53L.csv,1,15,34,0.0625,0.0286,0.0392
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_54.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented54L.csv,0,19,9,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_55.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented55L.csv,1,20,7,0.0476,0.1250,0.0690
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_56.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented56L.csv,0,20,13,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_57.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented57L.csv,0,9,20,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_58.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented58L.csv,4,7,10,0.3636,0.2857,0.3200
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_59.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented59L.csv,3,16,4,0.1579,0.4286,0.2308
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_60.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented60L.csv,3,21,12,0.1250,0.2000,0.1538
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_61.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented61L.csv,0,18,14,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_62.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented62L.csv,0,24,30,0.0000,0.0000,0.0000
