TIME,VALUE,DURATION,LABEL
0.000000000,1,20.400000000,A
20.400000000,2,8.600000000,B
29.000000000,1,6.600000000,A
35.600000000,2,8.800000000,B
44.400000000,1,6.600000000,A
51.000000000,2,10.000000000,B
61.000000000,3,7.200000000,C
68.200000000,4,31.000000000,D
99.200000000,5,5.600000000,E
104.800000000,1,8.000000000,A
112.800000000,2,8.200000000,B
121.000000000,1,6.800000000,A
127.800000000,2,8.400000000,B
136.200000000,1,6.800000000,A
143.000000000,2,9.800000000,B
152.800000000,5,15.000000000,E
167.800000000,4,15.400000000,D
183.200000000,6,18.000000000,F
