TIME,VALUE,DURATION,LABEL
0.000000000,1,15.600000000,A
15.600000000,2,21.000000000,B
36.600000000,3,13.400000000,C
50.000000000,4,15.000000000,D
65.000000000,5,14.600000000,E
79.600000000,4,14.600000000,D
94.200000000,5,16.000000000,E
110.200000000,2,21.400000000,B
131.600000000,1,14.600000000,A
146.200000000,6,28.600000000,F
174.800000000,7,16.000000000,G
190.800000000,2,29.600000000,B
220.400000000,3,27.200000000,C
247.600000000,1,15.600000000,A
263.200000000,6,21.600000000,F
284.800000000,2,15.000000000,B
299.800000000,6,28.600000000,F
328.400000000,7,16.200000000,G
344.600000000,3,26.400000000,C
