TIME,VALUE,DURATION,LABEL
0.000000000,1,36.200000000,A
36.200000000,2,32.000000000,B
68.200000000,3,15.600000000,C
83.800000000,4,30.800000000,D
114.600000000,5,19.400000000,E
134.000000000,3,15.400000000,C
149.400000000,6,25.600000000,F
175.000000000,1,12.600000000,A
187.600000000,5,31.400000000,E
219.000000000,4,15.800000000,D
234.800000000,5,29.600000000,E
264.400000000,1,19.000000000,A
283.400000000,5,11.200000000,E
294.600000000,3,4.800000000,C
299.400000000,7,29.400000000,G
328.800000000,5,17.600000000,E
