TIME,VALUE,DURATION,LABEL
0.000000000,1,35.000000000,A
35.000000000,2,42.800000000,B
77.800000000,3,9.000000000,C
86.800000000,4,19.800000000,D
106.600000000,5,15.600000000,E
122.200000000,4,5.400000000,D
127.600000000,5,8.600000000,E
136.200000000,4,5.400000000,D
141.600000000,5,8.800000000,E
150.400000000,4,10.200000000,D
160.600000000,6,7.000000000,F
167.600000000,7,44.200000000,G
211.800000000,5,9.200000000,E
221.000000000,4,5.400000000,D
226.400000000,5,22.800000000,E
249.200000000,4,5.400000000,D
254.600000000,5,8.800000000,E
263.400000000,4,5.400000000,D
268.800000000,7,5.800000000,G
274.600000000,6,16.000000000,F
290.600000000,2,13.000000000,B
303.600000000,1,19.200000000,A
