TIME,VALUE,DURATION,LABEL
0.000000000,1,16.000000000,A
16.000000000,2,8.600000000,B
24.600000000,3,6.200000000,C
30.800000000,2,9.000000000,B
39.800000000,3,6.400000000,C
46.200000000,2,9.000000000,B
55.200000000,3,6.600000000,C
61.800000000,2,10.200000000,B
72.000000000,4,12.400000000,D
84.400000000,1,25.200000000,A
109.600000000,5,7.000000000,E
116.600000000,6,7.400000000,F
124.000000000,5,8.000000000,E
132.000000000,6,7.200000000,F
139.200000000,5,8.200000000,E
147.400000000,6,6.600000000,F
154.000000000,2,7.400000000,B
161.400000000,1,7.200000000,A
168.600000000,4,4.800000000,D
173.400000000,1,10.000000000,A
183.400000000,4,7.600000000,D
191.000000000,7,5.800000000,G
196.800000000,4,9.800000000,D
206.600000000,7,5.600000000,G
212.200000000,8,5.200000000,H
217.400000000,5,6.800000000,E
224.200000000,6,7.200000000,F
231.400000000,5,8.000000000,E
239.400000000,6,7.400000000,F
246.800000000,5,8.200000000,E
255.000000000,6,7.200000000,F
262.200000000,5,8.000000000,E
270.200000000,6,8.600000000,F
