TIME,VALUE,DURATION,LABEL
0.000000000,1,13.800000000,A
13.800000000,2,9.800000000,B
23.600000000,1,9.800000000,A
33.400000000,2,7.400000000,B
40.800000000,1,9.400000000,A
50.200000000,3,9.600000000,C
59.800000000,4,10.800000000,D
70.600000000,3,8.800000000,C
79.400000000,4,11.000000000,D
90.400000000,5,34.600000000,E
125.000000000,1,6.600000000,A
131.600000000,2,9.400000000,B
141.000000000,1,11.200000000,A
152.200000000,2,11.000000000,B
163.200000000,1,6.000000000,A
169.200000000,3,9.600000000,C
178.800000000,4,11.000000000,D
189.800000000,3,9.000000000,C
198.800000000,4,10.000000000,D
208.800000000,5,34.000000000,E
242.800000000,1,31.000000000,A
