TIME,VALUE,DURATION,LABEL
0.000000000,1,19.800000000,A
19.800000000,2,43.800000000,B
63.600000000,3,25.200000000,C
88.800000000,4,6.800000000,D
95.600000000,1,4.800000000,A
100.400000000,4,9.200000000,D
109.600000000,1,4.800000000,A
114.400000000,4,4.800000000,D
119.200000000,5,4.200000000,E
123.400000000,6,6.600000000,F
130.000000000,5,7.000000000,E
137.000000000,6,4.600000000,F
141.600000000,4,7.800000000,D
149.400000000,6,8.200000000,F
157.600000000,7,6.800000000,G
164.400000000,6,7.600000000,F
172.000000000,5,7.600000000,E
179.600000000,6,6.000000000,F
185.600000000,7,7.600000000,G
193.200000000,6,8.000000000,F
201.200000000,4,7.000000000,D
208.200000000,1,18.600000000,A
226.800000000,4,6.800000000,D
233.600000000,6,8.800000000,F
242.400000000,7,6.200000000,G
248.600000000,6,7.800000000,F
256.400000000,5,7.600000000,E
264.000000000,6,6.000000000,F
270.000000000,7,7.000000000,G
277.000000000,6,7.200000000,F
284.200000000,7,4.200000000,G
288.400000000,5,25.600000000,E
314.000000000,4,12.000000000,D
