TIME,VALUE,DURATION,LABEL
0.000000000,1,6.200000000,A
6.200000000,2,30.400000000,B
36.600000000,3,8.800000000,C
45.400000000,4,20.600000000,D
66.000000000,1,32.200000000,A
98.200000000,5,6.200000000,E
104.400000000,6,7.600000000,F
112.000000000,5,7.600000000,E
119.600000000,6,7.800000000,F
127.400000000,5,7.400000000,E
134.800000000,6,7.800000000,F
142.600000000,5,7.600000000,E
150.200000000,6,7.600000000,F
157.800000000,5,8.200000000,E
166.000000000,6,7.000000000,F
173.000000000,5,8.600000000,E
181.600000000,6,8.400000000,F
190.000000000,1,15.000000000,A
205.000000000,7,30.000000000,G
235.000000000,8,32.800000000,H
267.800000000,3,33.200000000,C
