TIME,VALUE,DURATION,LABEL
0.0,1,21.6,1
21.6,2,6.0,2
27.6,3,7.4,3
35.0,2,7.2,2
42.2,3,8.8,3
51.0,4,19.6,4
70.6,5,24.0,5
94.6,2,6.8,2
101.4,3,6.8,3
108.2,2,8.2,2
116.4,3,7.4,3
123.8,1,6.8,1
130.6,6,26.0,6
156.6,7,44.2,7
200.8,6,10.2,6
211.0,2,6.6,2
217.6,3,7.6,3
225.2,2,7.2,2
232.4,3,7.4,3
239.8,2,7.4,2
247.2,3,8.4,3
255.6,7,9.0,7
