TIME,VALUE,DURATION,LABEL
0.0,1,23.6,1
23.6,2,7.0,2
30.6,1,8.2,1
38.8,2,7.4,2
46.2,1,8.0,1
54.2,2,7.6,2
61.8,1,7.8,1
69.6,2,8.4,2
78.0,3,28.4,3
106.4,4,4.2,4
110.6,5,6.8,5
117.4,6,6.6,6
124.0,5,8.6,5
132.6,6,6.6,6
139.2,5,9.0,5
148.2,6,5.2,6
153.4,7,6.2,7
159.6,3,6.4,3
166.0,7,8.8,7
174.8,3,8.0,3
182.8,7,4.6,7
187.4,3,11.2,3
198.6,7,4.2,7
202.8,3,14.6,3
217.4,5,7.6,5
225.0,6,6.2,6
231.2,5,9.0,5
240.2,6,6.6,6
246.8,5,8.8,5
255.6,6,6.6,6
262.2,5,8.8,5
271.0,6,7.8,6
