CLIP_NAME,DURATION,TIMESTAMP
8.R,15.867,0.294
8.R,15.867,16.162
8.R,15.867,32.029
8.R,15.867,47.897
8.R,15.867,63.765
8.R,15.867,79.633
8.R,15.867,95.5
x.R,1.487,111.368
8.R,15.867,112.856
8.R,15.867,128.724
8.R,15.867,144.591
8.R,15.867,160.459
8.R,15.867,176.327
8.R,15.867,192.195
8.R,15.867,208.062
8.R,15.867,223.93
8.R,15.867,239.809
x.R,12.135,255.677
